title,genre,Tag Count,Tags
Anansi Boys,Fiction,5,"Fantasy, Young Adult, Adventure, Science fiction, Adventure stories"
The Graveyard Book,Fantasy,9,"Fantasy, Fiction, Young Adult, Adventure, Science fiction, Comics, Family, Graphic novels, Spanish"
An Astronaut's Guide to Life on Earth,Action & Adventure,3,"Adventure, Nonfiction, Space"
Baptism of Fire,Fantasy,9,"Fantasy, Fiction, Young Adult, Adventure, War, Magic, Fantasy fiction, High Fantasy, Good and evil"
A Farewell To Arms,Fiction,7,"Classics, Science fiction, History, War, Romance, Biography, Science"
Lateral Thinking: Creativity Step by Step,Nonfiction,1,Nonfiction
Voyage Au Centre de La Terre,Fantasy,3,"Fantasy, Adventure, Classics"
Survival in Auschwitz,Classics,4,"Classics, History, War, Biography & Autobiography"
12 Rules for Life: An Antidote to Chaos / Maps of Meaning: The Architecture of Belief,Nonfiction,5,"Nonfiction, Philosophy, Psychology, Self-Help, Self help"
The adventures of Oliver Twist,Fiction,9,"Classics, Young Adult, Adventure, History, Mystery, Literature, Children, Crime, Justice"
Feed,Fantasy,5,"Fantasy, Young Adult, Adventure, Science fiction, Dystopian"
Angela's Ashes: A Memoir,Nonfiction,9,"Fiction, Classics, History, Nonfiction, Biography, Biography & Autobiography, Family, Children, Spanish"
Shadow Kiss,Fiction,6,"Fantasy, Young Adult, Adventure, Comics, Young Adult Fiction, Magic"
Breakfast of Champions,Fiction,6,"Fantasy, Classics, Science fiction, Literature, Fiction, Satire"
The Executioner's Song,Classics,1,Classics
The Uncensored Picture of Dorian Gray,Fiction,8,"Classics, Fantasy, Young Adult, History, Comics, LGBTQ, Romance, Philosophy"
The Turn Of The Screw,Fantasy,8,"Fantasy, Classics, Young Adult, Romance, Horror, Supernatural, Gothic Horror, Popular literature"
"The Foundation Trilogy: Foundation, Second Foundation, Foundation And Empire",Fiction,6,"Fantasy, Adventure, Classics, Science fiction, Space, Life on other planets"
Quantum psychology,Religion & Philosophy,4,"Philosophy, Psychology, Body, Mind & Spirit"
The Family Upstairs,Fiction,1,Thriller
Fermat's last theorem,History,5,"History, Science, Biography & Autobiography, Science, Diophantine analysis"
"84, Charing Cross Road",Fiction,5,"Classics, Biography, Travel, Literary Collections, American"
The Kill Order,Young Adult,6,"Fiction, Fantasy, Adventure, Science fiction, Dystopian, Young Adult Fiction"
Stillhouse Lake,Fiction,2,"Thriller, Suspense"
Woven in Moonlight,Fiction,4,"Fantasy, Young Adult, Adventure, Young Adult Fiction"
Honor's Splendour,Unknown,1,nan
Democracy in America,Nonfiction,7,"Classics, History, Nonfiction, Religion, Literature, Politics, political science"
The Robots of Dawn,Fiction,8,"Fantasy, Young Adult, Adventure, Classics, Science fiction, Dystopian, Mystery, Space"
The Duke and I,Fiction,3,"Romance, Period romance, Period piece"
Harry Potter and the Cursed Child: Parts One and Two,Fantasy,8,"Fantasy, Fiction, Young Adult, Adventure, Literature, Magic, Families, Electronic books"
The Shining,Fiction,7,"Fantasy, Young Adult, Classics, Horror, Thriller, Family, Children"
Permanent Record,Biography,3,"Biography, Nonfiction, Politics"
On Dialogue,Nonfiction,2,"Nonfiction, Philosophy"
Use of Weapons,Action & Adventure,6,"Adventure, Aliens, Fantasy, Science fiction, Space, War"
You,Fiction,1,Romance
Alanna: The First Adventure,Fiction,6,"Fantasy, Young Adult, Adventure, Classics, Science fiction, Young Adult Fiction"
Winnie-the-Pooh: A Pop-up Book,Fiction,2,"Young Adult, Fiction"
The Princess Bride,Fantasy,7,"Fantasy, Fiction, Classics, Young Adult, Adventure, Romance, Historical Fiction"
The Awakening,Classics,1,Classics
White Fang,Fiction,4,"Fantasy, Classics, Young Adult, Adventure"
All Quiet on the Western Front,Fiction,9,"Classics, Young Adult, Adventure, War, History, Comics, Comics & Graphic Novels, Historical Fiction, Drama"
Ella Enchanted (Ella Enchanted #1),Fiction,4,"Fantasy, Young Adult, Adventure, Classics"
Tapestry,Unknown,1,nan
Crown of Midnight,Fantasy,9,"Fantasy, Young Adult, Adventure, Fiction, Romance, Dystopian, Young Adult Fiction, Murder, High Fantasy"
Country girl,Biography,1,Biography
Little Brother,Fiction,7,"Fantasy, Young Adult, Adventure, Science fiction, War, Dystopian, Young Adult Fiction"
The Hundred Thousand Kingdoms,Fiction,7,"Fantasy, Young Adult, Adventure, Science fiction, LGBTQ, gods, Homecoming"
Mindset:The New Psychology of Success,Nonfiction,4,"Nonfiction, Business & Economics, Psychology, Belief and doubt"
A Bell for Adano,Classics,2,"Classics, War"
Mrs Dalloway,Fiction,3,"Classics, LGBTQ, Post World War"
It Can't Happen Here,Fiction,7,"Classics, Science fiction, War, Dystopian, Politics, Satire, Dictators"
Honor Among Enemies,Fiction,6,"Fantasy, Science fiction, Adventure, War, Space, Military"
Martin Dressler,Fiction,1,nan
Inheritance,Fiction,8,"Fantasy, Young Adult, Adventure, Science fiction, War, Young Adult Fiction, Magic, Children's stories"
The Bone Witch,Fantasy,3,"Fantasy, Young Adult, Adventure"
The Chain,Fiction,1,Thriller
The Guernsey Literary and Potato Peel Pie Society,Fiction,5,"Classics, History, War, Literature, Friendship"
"In a Dark, Dark Wood",Fiction,6,"Mystery, Thriller, Suspense, Friendship, Murder, Female friendship"
The Three Musketeers,Fiction,7,"Fantasy, Classics, Young Adult, Adventure, History, Comics, Comics & Graphic Novels"
Andersonville,Classics,2,"Classics, War"
Midnight Tides,Fiction,5,"Fantasy, Adventure, Science fiction, War, Fantasy fiction"
Thirteen Reasons Why,Fiction,1,Young Adult
Immortal Life of Henrietta Lacks,History,4,"History, Nonfiction, Biography, African Americans"
2312,Fantasy,5,"Fantasy, Science fiction, Dystopian, Space, End of the world"
Schindler's Ark,Fiction,4,"History, War, Religion, Literature"
The Big Sleep,Mystery,8,"Fiction, Classics, Young Adult, Mystery, Murder, Women, Detective and mystery stories, Extortion"
Negroland,History,3,"History, Biography, African Americans"
If He Had Been with Me,Fiction,5,"Young Adult, Romance, Young Adult Fiction, Friendship, Contemporary"
"Thinking in Pictures, Expanded Edition: My Life with Autism",Biography & Autobiography,9,"Biography, Nonfiction, autobiography, Biography Memoir, Disability, General, Memoir, Psychology, Science"
The Martian,Science fiction,9,"Science fiction, Fiction, Fantasy, Young Adult, Adventure, Space, Juvenile Fiction, Young Adult Fiction, Astronauts"
A Midsummer Night's Dream,Classics,10,"Fantasy, Fiction, Classics, Young Adult, Romance, History, Comics, Nonfiction, Juvenile Nonfiction, Literature"
Fledgling,Fantasy,4,"Fantasy, Classics, Science fiction, LGBTQ"
City of Thieves,Fiction,7,"Young Adult, Adventure, Classics, History, War, Psychology, Historical Fiction"
Confessions,Fiction,2,"Thriller, Murder"
When You Are Engulfed in Flames,LGBTQ,1,LGBTQ
Consider the Lobster and Other Essays,Classics,1,Classics
The Origin of Species,Classics,5,"Classics, Nonfiction, Science, Literature, Evolution"
Broken Wing,Unknown,1,nan
Kraken,Fiction,7,"Fantasy, Adventure, Science fiction, Thriller, Suspense, Magic, Cults"
The Inferno,Fiction,8,"Fantasy, Classics, History, Religion, Literature, Politics, Poetry, Hell"
Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,Psychology & Self-help,3,"Psychology, Self-Help, Family & Relationships"
1776,Classics,4,"Classics, History, War, Biography & Autobiography"
Lock Every Door,Fiction,3,"Thriller, Suspense, Horror"
A Time of Gifts,Action & Adventure,2,"Adventure, Classics"
Prince of Dreams,Fantasy,1,Fantasy
The Things They Carried,Biography & Autobiography,6,"Young Adult, Classics, War, Short stories, Memoir, Vietnam War"
The Power of Now,Nonfiction,2,"Nonfiction, Religion"
City of Lost Souls,Fantasy,7,"Fantasy, Young Adult, Fiction, Adventure, LGBTQ, Magic, Betrayal"
Red Country,Fantasy,6,"Fiction, Fantasy, Adventure, Science fiction, War, Fantasy fiction"
The Time Traders,Fantasy,6,"Fantasy, Young Adult, Adventure, Science fiction, Classics, Aliens"
Ammonite,Fantasy,7,"Fantasy, Adventure, Science fiction, Dystopian, LGBTQ, Space, Aliens"
Beasts Made of Night,Fiction,4,"Fantasy, Young Adult, Adventure, Science fiction"
The Book Thief,Fiction,8,"Young Adult, Fantasy, Classics, History, War, Historical Fiction, Religion, Young Adult Fiction"
Fried green tomatoes at the Whistle Stop Cafe,Fiction,5,"Classics, LGBTQ, Romance, Friendship, Women"
I Am Number Four,Young Adult,8,"Fiction, Fantasy, Science fiction, Adventure, Romance, Aliens, Dystopian, Young Adult Fiction"
Capitalist Realism: Is There No Alternative?,History,3,"History, Philosophy, political science"
The Iron King,Fantasy,6,"Fantasy, Fiction, Classics, War, History, Biography & Autobiography"
The Return of Sherlock Holmes,Young Adult,7,"Fiction, Classics, Adventure, Mystery, History, Detective and mystery stories, detective"
Winter's Tale,Fantasy,7,"Fantasy, Adventure, Classics, Science fiction, Romance, Historical Fiction, Magical Realism"
House of Leaves,Fiction,5,"Fantasy, Classics, Science fiction, Suspense, Horror"
Thud!,Fiction,5,"Fantasy, Adventure, Classics, Science fiction, Children's stories"
Twilight,Fiction,8,"Fantasy, Young Adult, Romance, Adventure, Science fiction, Comics, Young Adult Fiction, Friendship"
Maurice,Fiction,5,"Classics, LGBTQ, Drama, Queer, Period romance"
All the King's Men,Fiction,2,"Classics, Governors"
The Windup Girl,Fantasy,4,"Fantasy, Young Adult, Science fiction, Dystopian"
Career of Evil,Fiction,3,"Mystery, Romance, Thriller"
Mission of Honor,Fantasy,6,"Fantasy, Fiction, Adventure, Science fiction, War, Space"
American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,History,6,"History, War, Biography, Nonfiction, Biography & Autobiography, Science"
As I Lay Dying,Fiction,2,"Classics, History"
The Black Echo,Fiction,2,"Thriller, Police"
A Little Princess,Fiction,6,"Fantasy, Young Adult, Classics, History, Children, Boarding school"
Bossypants,Biography & Autobiography,6,"Biography, Nonfiction, Biography & Autobiography, Fiction, Memoir, comedy"
Perdido Street Station,Fiction,5,"Fantasy, Young Adult, Adventure, Science fiction, Dystopian"
S.,Fiction,5,"Fantasy, Adventure, Science fiction, Romance, Mystery"
The Hellbound Heart,Fantasy,2,"Fantasy, Classics"
The Lovely Bones,Fiction,6,"Fantasy, Young Adult, Classics, Murder, Family, Domestic fiction"
My First Summer in the Sierra,Action & Adventure,7,"Adventure, Classics, History, Biography, Biography & Autobiography, Travel, Agriculture"
Prodigy,Fiction,8,"Fantasy, Young Adult, Adventure, Science fiction, War, Dystopian, Young Adult Fiction, Siblings"
Deep Work,Nonfiction,5,"Nonfiction, Business & Economics, Self help, Productivity, Advice"
The hating game,Fiction,2,"Romance, Contemporary Romance"
Scythe,Fiction,7,"Young Adult, Fantasy, Science fiction, Adventure, Dystopian, Young Adult Fiction, Murder"
The Broken Girls,Fiction,3,"Fantasy, Mystery, Murder"
Old Man's War,Science fiction,8,"Science fiction, Fiction, Fantasy, Adventure, War, Space, Dystopian, Aliens"
Toll the Hounds,Fantasy,7,"Fantasy, Adventure, Fiction, Science fiction, War, Thriller, Fantasy fiction"
Grave Peril,Fantasy,10,"Fantasy, Fiction, Young Adult, Adventure, Science fiction, Mystery, Magic, Detective and mystery stories, Urban Fantasy, Paranormal"
Titus Groan,Fantasy,4,"Fantasy, Fiction, Classics, Science fiction"
Cinder,Fiction,7,"Young Adult, Science fiction, Fantasy, Adventure, Dystopian, Romance, Aliens"
Player Piano,Fantasy,4,"Fantasy, Science fiction, Classics, Dystopian"
Challenge to Efrafa,Fantasy,3,"Fantasy, Adventure, Classics"
On Tyranny,War,3,"War, Nonfiction, political science"
Middlemarch,Fiction,1,Classics
The Caves of Steel,Science fiction,8,"Fiction, Fantasy, Science fiction, Classics, Dystopian, Space, Robots, Overpopulation"
Castle in the Air,Fiction,5,"Fantasy, Young Adult, Adventure, Classics, Magic"
Dune,Fiction,9,"Science fiction, Fantasy, Classics, Adventure, Young Adult, Comics, Dystopian, War, Space"
Candide,Fiction,6,"Fantasy, Classics, Young Adult, Adventure, History, Philosophy"
Shadow and Bone,Fantasy,9,"Fantasy, Fiction, Young Adult, Adventure, Science fiction, War, Dystopian, Young Adult Fiction, Magic"
Senlin Ascends,Fiction,4,"Fantasy, Adventure, Science fiction, Dystopian"
Neuromancer,Fiction,9,"Science fiction, Classics, Fantasy, Dystopian, Computers, Artificial Intelligence, Conspiracies, cyberpunk, Business intelligence"
Goddess of Spring,Fantasy,2,"Fantasy, Young Adult"
The Zombie Survival Guide: Recorded Attacks,Fantasy,8,"Fantasy, Young Adult, Adventure, Science fiction, Comics, Dystopian, Comics & Graphic Novels, Fiction"
Essentialism,Unknown,1,nan
The Bone Season,Fiction,6,"Fantasy, Young Adult, Adventure, Science fiction, Dystopian, Clairvoyants"
Killing Floor,Fiction,1,Adventure
Anya's Ghost,Fantasy,9,"Fantasy, Young Adult, Fiction, Comics, Young Adult Fiction, Graphic novels, Horror, Paranormal, Supernatural"
Shantaram,Action & Adventure,3,"Adventure, Classics, Autobiographical fiction"
The Buccaneers,Classics,1,Classics
Eragon,Fantasy,8,"Fantasy, Fiction, Young Adult, Adventure, Science fiction, War, Young Adult Fiction, Magic"
The waves,Fiction,3,"Classics, Literature, Friendship"
Akata Witch,Fantasy,8,"Fantasy, Young Adult, Fiction, Adventure, Science fiction, Young Adult Fiction, Magic, Young adult fantasy"
Travels with a donkey,Action & Adventure,5,"Adventure, Classics, Nonfiction, Biography, Travel"
The Great Gatsby,Fiction,5,"Young Adult, Comics, Romance, Literature, Spanish"
Seven Life Lessons of Chaos: Timeless Wisdom from the Science of Change,Nonfiction,4,"Nonfiction, Philosophy, Self-Help, Spirituality"
The Prophet,Fiction,7,"Classics, Philosophy, Religion, Poetry, Art, Graphic novels, Fairy tales"
The Exorcist,Fiction,3,"Fantasy, Classics, Horror"
Steal Like an Artist,Nonfiction,10,"Nonfiction, Business & Economics, Psychology, Art, Business, Self-Help, Design, Self help, Personal Development, Productivity"
The Dry,Fiction,4,"Mystery, Thriller, Murder, Police"
"A Room of One's Own, and Three Guineas",Classics,1,Classics
The Ruins,Fantasy,3,"Fantasy, Adventure, Science fiction"
Forward the Foundation,Fiction,8,"Fantasy, Adventure, Classics, Science fiction, Space, Literary Collections, Medical, Historians"
Gardens of the Moon,Fiction,9,"Fantasy, Young Adult, Adventure, Science fiction, War, Fantasy fiction, High Fantasy, Epic Fantasy, Imaginary wars and battles"
Uprooted,Fiction,9,"Fantasy, Young Adult, Adventure, Science fiction, Romance, Magic, Friendship, Folklore, Fairy tales"
One Flew Over the Cuckoo's Nest,Fiction,4,"Classics, Literature, Friendship, Mentally ill"
The Opal Deception,Fantasy,5,"Fantasy, Young Adult, Adventure, Science fiction, Adventure stories"
An Abundance of Katherines,Young Adult,6,"Fiction, Adventure, Romance, Young Adult Fiction, Friendship, Spanish"
Keeper of the Lost Cities,Fantasy,4,"Fantasy, Young Adult, Adventure, Science fiction"
"Everything, Everything",Fiction,1,Young Adult
Fight Club,Fiction,7,"Fantasy, Classics, Science fiction, Dystopian, Crime, Literary Fiction, Film"
Acceptance,Fiction,7,"Fantasy, Science fiction, Adventure, LGBTQ, Dystopian, Aliens, Suspense"
If We Were Villains,Fiction,5,"Fantasy, Young Adult, LGBTQ, Mystery, Thriller"
The Absolutely True Diary of a Part-Time Indian,Young Adult,4,"Fiction, Classics, Young Adult Fiction, Native Americans"
Darkfever,Fiction,6,"Fantasy, Young Adult, Adventure, Science fiction, Romance, Fantasy fiction"
Dragonflight,Fantasy,8,"Fantasy, Fiction, Young Adult, Adventure, Classics, Science fiction, Comics, dragons"
"Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx",Biography,1,Biography
How to Do Nothing: Resisting the Attention Economy,Nonfiction,4,"Nonfiction, Philosophy, Self help, Productivity"
Fool's Errand,Fantasy,3,"Fantasy, Young Adult, Adventure"
The Wrath and the Dawn,Fiction,7,"Fantasy, Young Adult, Adventure, Romance, Young Adult Fiction, Murder, Fairy tales"
Wave,Biography,2,"Biography, Family"
Aru Shah and the Song of Death,Fantasy,3,"Fantasy, Young Adult, Adventure"
Sourcery,Fiction,6,"Fantasy, Young Adult, Adventure, Classics, Science fiction, Fantasy fiction"
The Naked Sun,Fiction,8,"Fantasy, Young Adult, Adventure, Classics, Science fiction, Dystopian, Mystery, Space"
Spindle's End,Fantasy,3,"Fantasy, Young Adult, Adventure"
"Will Grayson, Will Grayson",Young Adult,3,"LGBTQ, Young Adult Fiction, literary criticism"
Thinner,Fiction,6,"Fantasy, Young Adult, Science fiction, Suspense, Horror, Horror"
The $100 Startup,Business & Economics,1,Business
A Closed and Common Orbit,Fiction,7,"Science fiction, Fantasy, Young Adult, Adventure, LGBTQ, Space, Aliens"
The Wee Free Men,Fiction,5,"Fantasy, Young Adult, Adventure, Science fiction, Fiction"
Bury My Heart at Wounded Knee: An Indian History of the American West,Classics,2,"Classics, War"
Bleak House,Fiction,2,"Classics, Literature"
The False Prince,Fiction,3,"Fantasy, Young Adult, Adventure"
The Phantom Tollbooth,Fiction,7,"Fantasy, Young Adult, Adventure, Classics, Science fiction, Children, Spanish"
The Silkworm,Mystery,4,"Fiction, History, Mystery, Detective and mystery stories"
Messenger,Fantasy,9,"Fantasy, Young Adult, Fiction, Adventure, Classics, Science fiction, Dystopian, Middle Grade, Community life"
Harry Potter and the Sorcerer's Stone,Fantasy,7,"Fantasy, Fiction, Young Adult, Adventure, Classics, Mystery, Magic"
Cutting for Stone,Fiction,2,"Classics, Medical"
Go Set a Watchman,Fiction,3,"Young Adult, Classics, Historical Fiction"
Matilda,Fantasy,9,"Fantasy, Young Adult, Fiction, Adventure, Classics, Fiction, Magic, Spanish, Children's Literature"
The Alloy of Law,Fiction,7,"Fantasy, Young Adult, Adventure, Science fiction, Magic, Fantasy fiction, Fantasy games"
Renegades,Fantasy,4,"Fantasy, Young Adult, Science fiction, Dystopian"
The 48 Laws of Power,Classics,7,"Classics, Nonfiction, Biography & Autobiography, Philosophy, Psychology, Business, Psychology"
Behind Closed Doors,Fiction,3,"Thriller, Suspense, adult"
Legendary,Fiction,6,"Fantasy, Young Adult, Adventure, Romance, Young Adult Fiction, Young adult fantasy"
Hallowe'en Party,Fiction,4,"Classics, Mystery, Murder, Mystery fiction"
Think and Grow Rich,Classics,10,"Classics, Nonfiction, Philosophy, Business & Economics, Business, Self-Help, Spanish, Finance, Conduct of life, Psychology"
The English Patient,Classics,2,"Classics, War"
The Confessions of Nat Turner,Fiction,4,"Young Adult, Classics, History, African Americans"
The Red Pyramid,Fiction,8,"Fantasy, Young Adult, Adventure, Classics, Magic, Children, Spanish, Middle Grade"
The School for Good and Evil,Fiction,8,"Fantasy, Young Adult, Adventure, Friendship, Magic, Children, Children's stories, Boarding school"
Independence Day,Fiction,1,nan
City of Ashes,Fantasy,9,"Fantasy, Young Adult, Fiction, Adventure, Romance, LGBTQ, Young Adult Fiction, Magic, Demonology"
The Restoration of Christian Culture,Unknown,1,nan
Cloud Atlas,Fiction,8,"Fantasy, Adventure, Classics, Science fiction, Dystopian, Fantasy fiction, Adventure stories, Fate and fatalism"
Revelation Space,Fiction,6,"Fantasy, Adventure, Science fiction, Space, Aliens, Life on other planets"
The Pragmatic Programmer,Unknown,1,nan
The Last Battle,Fantasy,8,"Fantasy, Fiction, Classics, Young Adult, Adventure, Magic, Children's stories, Middle Grade"
Ghost Story,Fantasy,4,"Fantasy, Fiction, Adventure, Science fiction"
Days of Blood & Starlight,Fiction,6,"Fantasy, Young Adult, Adventure, War, Dystopian, Young Adult Fiction"
The Hazel Wood,Fantasy,9,"Fantasy, Fiction, Young Adult, Adventure, Young Adult Fiction, Magic, Fairy tales, Dark Fantasy, Fairy Tale Retelling"
Testosterone Rex,LGBTQ,1,LGBTQ
The Jungle,Fiction,7,"Young Adult, Classics, History, Comics, Literature, Historical Fiction, Graphic novels"
Creative Confidence,Unknown,1,nan
A Woman Is No Man,Fiction,2,"Women, Historical Fiction"
The Adventure of the Christmas Pudding,Fiction,3,"Classics, Mystery, Crime"
The War of the Worlds,Fantasy,9,"Fantasy, Science fiction, Adventure, Fiction, Classics, War, History, Dystopian, Aliens"
Redshirts,Fiction,6,"Fantasy, Science fiction, Adventure, Space, Aliens, comedy"
Aristotle and Dante Discover the Secrets of the Universe,Fiction,7,"Young Adult, LGBTQ, Fantasy, Romance, Young Adult Fiction, Friendship, Family"
Thrawn: Alliances,Fiction,6,"Fantasy, Adventure, Science fiction, War, Space, Aliens"
The Truth,Fiction,5,"Fantasy, Young Adult, Adventure, Science fiction, Drama"
The Alchemist,Fiction,7,"Fantasy, Adventure, Classics, Young Adult, History, Philosophy, Politics"
So Good They Can't Ignore You,Business & Economics,3,"Business, Nonfiction, Self help"
The Sword of Summer,Fiction,6,"Fantasy, Young Adult, Adventure, LGBTQ, Magic, Spanish"
Daughter of Fortune,Fiction,3,"Adventure, Classics, Historical Fiction"
The Raven Tower,Fantasy,5,"Fantasy, Science fiction, LGBTQ, Electronic books, High Fantasy"
East of Eden,Fiction,7,"Classics, Young Adult, History, Romance, Literature, Murder, American"
The Alienist,Fiction,5,"Classics, Mystery, Suspense, Murder, Historical Fiction"
The Death of Ivan Ilych,Fiction,7,"Young Adult, Classics, Psychology, Literature, Historical Fiction, Art, Death"
The Blind Assassin,Fantasy,4,"Fantasy, Classics, Science fiction, Literature"
Around the World in Eighty Days,Fiction,9,"Fantasy, Young Adult, Adventure, Classics, Science fiction, Science, Thriller, Literature, Travel"
Elantris,Fantasy,9,"Fantasy, Fiction, Adventure, Young Adult, Science fiction, War, Magic, High Fantasy, Blessing and cursing"
Attachments,Fiction,2,"Young Adult, Romance"
Lords and Ladies,Fantasy,7,"Fantasy, Fiction, Young Adult, Adventure, Science fiction, Fiction, Drama"
Wicked: The Life and Times of the Wicked Witch of the West,Fiction,8,"Fantasy, Young Adult, Adventure, Classics, Science fiction, Romance, Literature, Spanish"
Heir to the Empire,Fiction,7,"Fantasy, Young Adult, Adventure, Science fiction, War, Space, Aliens"
Endurance: Shackleton's Incredible Voyage,History,8,"History, Adventure, Classics, Nonfiction, Biography, Biography & Autobiography, Travel, Antarctica"
"Debt: The First 5,000 Years",History,4,"History, Nonfiction, Business & Economics, Debt"
El Príncipe de la Niebla,Fantasy,3,"Fantasy, Young Adult, Adventure"
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",History,3,"History, Business & Economics, Developing countries"
Fates and furies,Fiction,2,"Romance, Friendship"
The Seven Husbands of Evelyn Hugo,Fiction,6,"LGBTQ, Young Adult, Romance, Biography, Historical Fiction, Women"
Notes from The Century Before: A Journal from British Columbia,Action & Adventure,3,"Adventure, History, Travel"
Behind Her Eyes,Fiction,1,Fantasy
Summer Knight,Fantasy,6,"Fantasy, Fiction, Young Adult, Adventure, Science fiction, Mystery"
"Don't Make Me Think, Revisited",Nonfiction,4,"Nonfiction, Business, Computers, Design"
The Girls,Fiction,5,"Young Adult, LGBTQ, Romance, Friendship, Women"
The Bell Jar,Fiction,3,"Classics, Women, Depression"
Battle Ground,Fantasy,6,"Fantasy, Fiction, Adventure, Classics, Science fiction, War"
Eclipse,Fiction,7,"Fantasy, Young Adult, Adventure, Science fiction, Romance, History, War"
The Amulet of Samarkand,Fiction,7,"Fantasy, Young Adult, Adventure, Comics, Magic, Graphic novels, Apprentices"
Foucault's Pendulum,Fantasy,3,"Fantasy, Adventure, Classics"
City of Fallen Angels,Fantasy,9,"Fantasy, Young Adult, Fiction, Adventure, Science fiction, LGBTQ, War, Romance, Magic"
A Walk in the Woods,Action & Adventure,1,Adventure
The First Fifteen Lives of Harry August,Fantasy,4,"Fantasy, Young Adult, Adventure, Science fiction"
Carpe Jugulum,Fiction,4,"Fantasy, Young Adult, Adventure, Science fiction"
One of Ours,Fiction,2,"Classics, War"
The Hobbit & The Lord of the Rings,Fantasy,6,"Fantasy, Young Adult, Adventure, Classics, Science fiction, War"
Chain of Gold,Fiction,5,"Fantasy, Young Adult, LGBTQ, Young Adult Fiction, Siblings"
Strange case of Dr Jekyll and Mr Hyde,Fiction,7,"Classics, Fantasy, Science fiction, Young Adult, History, Comics, Mystery"
Naked Lunch,Fiction,3,"Fantasy, Classics, Science fiction"
All Aunt Hagar's Children: Stories,Fiction,1,African Americans
Foundation and Empire,Fiction,8,"Fantasy, Adventure, Classics, Science fiction, War, Dystopian, Space, Fantasy fiction"
The Complete Robot,Fantasy,3,"Fantasy, Classics, Science fiction"
England's Perfect Hero,Unknown,1,nan
Minor Characters,Classics,1,Classics
Alice in Wonderland / Through the Looking Glass,Fantasy,5,"Fantasy, Young Adult, Adventure, Classics, Children"
A Barbarian in Asia,Nonfiction,1,Travel
Reamde,Fantasy,5,"Fantasy, Adventure, Science fiction, Thriller, Suspense"
Leaves of Grass,Fiction,9,"Classics, History, LGBTQ, Biography, Philosophy, Literature, Poetry, Politics, Drama"
This One Summer,Young Adult,2,"LGBTQ, Comics"
Hour Game,Fiction,1,Adventure
Die Trying,Action & Adventure,1,Adventure
Dubliners ,Fiction,4,"Classics, Biography, Literature, literary criticism"
Cosmos,Classics,3,"Classics, Science fiction, Space"
Blanca & Roja,Fantasy,3,"Fantasy, Young Adult, LGBTQ"
Peter Pan,Fantasy,5,"Fantasy, Adventure, Classics, Young Adult, Fairy tales"
Roadside Picnic,Fiction,7,"Fantasy, Adventure, Classics, Science fiction, Dystopian, Aliens, Russian fiction"
My Lives,LGBTQ,1,LGBTQ
Star Girl,Fiction,2,"Young Adult, Classics"
Mr. Penumbra's 24-Hour Bookstore,Action & Adventure,5,"Adventure, Fantasy, Young Adult, Science fiction, Bookstores"
Oedipus Rex,Fiction,5,"Fantasy, Classics, History, Literature, Drama"
The Crown,Fantasy,5,"Fantasy, Young Adult, Science fiction, Dystopian, Young Adult Fiction"
A Wizard Abroad,Fantasy,4,"Fantasy, Young Adult, Adventure, Science fiction"
The Boy in the Striped Pajamas,Fiction,6,"Young Adult, History, War, Religion, Friendship, Historical Fiction"
Entwined,Unknown,1,nan
The Abolition of Man,Classics,5,"Classics, Nonfiction, Religion, Philosophy, Education"
True Grit,Fiction,4,"Young Adult, Adventure, Classics, Fathers"
In the Woods,Fiction,2,"Mystery, Murder"
Freshwater,Fantasy,2,"Fantasy, LGBTQ"
The Friend,Fiction,1,nan
After Dark,Fiction,6,"Fantasy, Classics, Romance, Japanese fiction, Mysticism, Magic realism (Literature)"
Fuzzy Nation,Fantasy,6,"Fantasy, Young Adult, Adventure, Science fiction, Space, Aliens"
The Poisonwood Bible,Fiction,6,"Classics, History, Literature, Murder, Family, Historical Fiction"
The Golden Compass,Fantasy,8,"Fantasy, Adventure, Fiction, Young Adult, Classics, Science fiction, Comics, Dystopian"
The Richest Man in Babylon,Classics,6,"Classics, Business & Economics, Business, Self-Help, Finance, Business ethics"
Animal Farm,Fiction,8,"Classics, Fantasy, Young Adult, Dystopian, Science fiction, History, Comics, Romance"
Down and Out in Paris and London,Fiction,6,"Classics, History, Biography & Autobiography, Literature, Classical fiction, Homelessness"
A Princess of Mars,Fiction,9,"Fantasy, Young Adult, Adventure, Classics, Science fiction, Space, Aliens, Literature, Folklore"
Convenience Store Woman,Fiction,2,"Romance, Literary Fiction"
Trainspotting,Classics,2,"Classics, Dark Comedy"
The Girl Who Kicked the Hornet's Nest,Fiction,4,"Adventure, Mystery, Thriller, Political corruption"
A Gathering of Shadows,Fantasy,9,"Fantasy, Young Adult, Fiction, Adventure, Comics, LGBTQ, Comics & Graphic Novels, Magic, Contests"
The Body Keeps the Score,Nonfiction,3,"Nonfiction, Psychology, Health & Fitness"
The Kiss Quotient,Romance,2,"Romance, Asian Americans"
Lamb,Fantasy,2,"Fantasy, Adventure"
Unbroken,Action & Adventure,2,"Adventure, War"
